group,replicate,colony,colony,decision_lat,prop_dark,cohesion
Choice,1,n.amb17,958,217.779,0.227,0.933333333
Choice,1,n.amb5,484,643.865,0.833,1
Choice,1,n.amb20,574,431.833,0.421,0.142857143
Choice,1,n.amb9,397,820.514,0.886,1
Choice,1,n.amb16,490,4272.039,0.833,1
Choice,2,n.amb18,132,809.001,0.049,1
Choice,2,n.amb22,625,431.02,0.972,0.972972973
Choice,2,n.amb15,853,671.193,0.048,1
Choice,2,n.amb8,837,541.005,0.959,1
Choice,2,n.amb23,684,1538.048,0.921,1
NoChoice,1,n.amb25,453,1000.036,0.868,0.891891892
NoChoice,1,n.amb28,629,1112.736,0.000,1
NoChoice,1,n.amb24,319,1668.754,0.732,0.307692308
NoChoice,1,n.amb37,315,2193.795,0.026,1
NoChoice,1,n.amb21,443,1010.32,0.684,1
NoChoice,2,n.amb3,749,1026.279,0.010,1
NoChoice,2,n.amb1,243,1467.002,0.385,0.130434783
NoChoice,2,n.amb14,699,1437.999,0.057,1
NoChoice,2,n.amb13,447,1272.489,0.075,0.923076923
NoChoice,2,n.amb2,310,1088.04,0.429,0.358490566