group,colony,training,tot_transports,decision_latency,med_transport,prop_dark,,,,,,
NoChoice,n.amb21,1,19,3944.817,11189.7,NA,,,,,,
NoChoice,n.amb21,2,39,1279.555,7200.191,NA,,,,,,
NoChoice,n.amb21,3,22,1469.515,3404.359,NA,,,,,,
NoChoice,n.amb21,4,36,1857.545,5524.145,NA,,,,,,
NoChoice,n.amb21,5,31,1434.981,4662.846,NA,,,,,,
NoChoice,n.amb21,6,19,1601.498,4595.335,NA,,,,,,
NoChoice,n.amb24,1,11,2637.546,5806.899,NA,,,,,,
NoChoice,n.amb24,2,19,355.514,3733.313,NA,,,,,,
NoChoice,n.amb24,3,19,880.971,3198.852,NA,,,,,,
NoChoice,n.amb24,4,19,1294.016,4582.285,NA,,,,,,
NoChoice,n.amb24,5,17,2210.683,5834.251,NA,,,,,,
NoChoice,n.amb24,6,20,1003,3575.799,NA,,,,,,
NoChoice,n.amb37,1,48,1242.633,7811.982,NA,,,,,,
NoChoice,n.amb37,2,38,1553.268,4924.3735,NA,,,,,,
NoChoice,n.amb37,3,22,1524.523,5790.8815,NA,,,,,,
NoChoice,n.amb37,4,38,1448.494,4756.4795,NA,,,,,,
NoChoice,n.amb37,5,35,390.769,6604.052,NA,,,,,,
NoChoice,n.amb37,6,35,1825.987,5936.644,NA,,,,,,
NoChoice,n.amb3,1,NA,NA,NA,NA,,,,,,
NoChoice,n.amb3,2,107,2181.761,5259.743,NA,,,,,,
NoChoice,n.amb3,3,92,1770.724,6325.891,NA,,,,,,
NoChoice,n.amb3,4,85,1281.003,4446.192,NA,,,,,,
NoChoice,n.amb3,5,90,1367.506,4386.6645,NA,,,,,,
NoChoice,n.amb3,6,NA,NA,NA,NA,,,,,,
Choice,n.amb5,1,25,5681.421,10833.673,0.4,,,,,,
Choice,n.amb5,2,43,487.598,5597.14,0.674418605,,,,,,
Choice,n.amb5,3,30,1338.115,5624.397,0.1,,,,,,
Choice,n.amb5,4,34,1676.006,4074.1395,0.794117647,,,,,,
Choice,n.amb5,5,21,1280.744,3464.976,0,,,,,,
Choice,n.amb5,6,22,758.472,3170.8845,0.681818182,,,,,,
Choice,n.amb20,1,76,2350.211,10479.113,0.381578947,,,,,,
Choice,n.amb20,2,88,569.274,5328.0565,0.875,,,,,,
Choice,n.amb20,3,82,664.017,5122.9245,0.256097561,,,,,,
Choice,n.amb20,4,79,849.077,3863.961,0.594936709,,,,,,
Choice,n.amb20,5,69,845.019,4039.857,0.565217391,,,,,,
Choice,n.amb20,6,74,532.22,3164.612,0.621621622,,,,,,
Choice,n.amb.22,1,84,6571.39,11869.6935,0.976190476,,,,,,
Choice,n.amb.22,2,88,470.976,4225.9625,0.875,,,,,,
Choice,n.amb.22,3,76,2189.253,5822.9275,1,,,,,,
Choice,n.amb.22,4,103,840.517,4226.793,0.893203883,,,,,,
Choice,n.amb.22,5,81,704.231,3259.803,1,,,,,,
Choice,n.amb.22,6,85,950.29,3359.562,0.941176471,,,,,,
Choice,n.amb23,1,122,3901.161,10301.561,0.770491803,,,,,,
Choice,n.amb23,2,109,1971.027,5178.762,0.577981651,,,,,,
Choice,n.amb23,3,104,2859.384,6447.231,0.826923077,,,,,,
Choice,n.amb23,4,87,1621.019,5116.828,1,,,,,,
Choice,n.amb23,5,92,1514.735,6654.831,0.347826087,,,,,,
Choice,n.amb23,6,NA,NA,NA,NA,,,,,,