group,video,decision_lat,direct_dark,cohesion
Choice,958,217.779,0.193181818,0.933333333
Choice,484,643.865,0.75,1
Choice,574,431.833,0.368421053,0.142857143
Choice,397,820.514,0.685714286,1
Choice,490,4272.039,0.555555556,1
Choice,132,809.001,0.049382716,1
Choice,625,431.02,0.830188679,0.972972973
Choice,853,671.193,0.047619048,1
Choice,837,541.005,0.93877551,1
Choice,684,1538.048,0.822222222,1
NoChoice,453,1000.036,0.578947368,0.891891892
NoChoice,629,1112.736,0,1
NoChoice,319,1668.754,0.682926829,0.307692308
NoChoice,315,2193.795,0.025641026,1
NoChoice,443,1010.32,0.385964912,1
NoChoice,749,1026.279,0.01,1
NoChoice,243,1467.002,0.365384615,0.130434783
NoChoice,699,1437.999,0,1
NoChoice,447,1272.489,0.056603774,0.923076923
NoChoice,310,1088.04,0.396825397,0.358490566
,,,,